Date,Open,High,Low,Close,Adj Close,Volume,MktRF,SMB,HML,RF,RMW,CMA,SMB_5,yest_close,stock_return,log_return
2016-06-20,63.450001,63.849998,62.34,62.369999,55.681557,12213200,0.71,0.61,-0.01,0.001,-0.16,0.12,0.59,55.601212,0.0014450224574241515,0.0014440435954030661
2016-06-21,62.73,63.0,62.139998999999996,62.950001,56.199364,11611600,0.21,-0.62,0.5,0.001,-0.2,0.0,-0.61,55.681557,0.009299434640450245,0.009256401871297726
2016-06-22,62.950001,63.709998999999996,62.68,62.709998999999996,55.9851,12643500,-0.2,-0.31,0.08,0.001,0.05,0.0,-0.3,56.199364,-0.0038125698361995697,-0.003819867767470342
2016-06-23,63.700001,64.150002,63.529999,64.050003,57.181396,16583600,1.45,0.5,0.43,0.001,-0.55,-0.2,0.54,55.9851,0.02136811401605064,0.02114316657264048
2016-06-24,60.48,61.700001,59.34,59.599998,53.20860699999999,44108700,-3.7,0.15,-1.13,0.001,0.93,0.1,0.02,57.181396,-0.06947695016050336,-0.07200853466689328
2016-06-27,58.709998999999996,58.75,57.049999,57.610001000000004,51.432010999999996,37300700,-2.07,-0.95,-0.67,0.001,0.52,0.43,-1.06,53.20860699999999,-0.03338925974889736,-0.033959359411866785
2016-06-28,59.189999,59.549999,58.259997999999996,59.52,53.137184,29088700,1.76,-0.39,0.14,0.001,-0.61,-0.59,-0.38,51.432010999999996,0.03315392431378976,0.03261620942244736
2016-06-29,60.360001000000004,61.209998999999996,60.0,61.200001,54.637028,21483000,1.8,0.27,-0.07,0.001,-0.11,-0.24,0.31,53.137184,0.02822588415675176,0.027834815333312335
2016-06-30,61.630001,62.189999,61.02,62.139998999999996,55.476215,21343600,1.42,0.35,0.45,0.001,-0.13,0.38,0.38,54.637028,0.015359309075156917,0.015242682014058317
2016-07-01,61.66,62.009997999999996,61.16,61.259997999999996,55.116329,14217800,0.24,0.54,-0.41,0.001,-0.13,0.23,0.47,55.476215,-0.00648721258290608,-0.014262819115310243
